id,date,year,type,symbol,quantity,price_usd,fx_rate_to_cad,fee_cad,cash_amount_cad,gross_amount_cad,net_cash_flow_cad,running_cash_cad,position_after,realized_pnl_cad,note,source_note,split_adjusted
GC-0011,2016-01-15,2016,DEPOSIT,CASH,,,1.0,0.0,10000.0,10000.0,10000.0,10957.849999999999,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0012,2016-02-12,2016,SELL,TSLA,30.0,14.0,1.38,9.95,,579.5999999999999,569.6499999999999,11527.499999999998,30.0,2.174999999999841,Réduction après volatilité; décision prudente mais prématurée,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0013,2016-03-18,2016,BUY,MSFT,50.0,52.0,1.32,9.95,,3432.0,-3441.95,8085.549999999998,120.0,,Renforcement du cloud,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0014,2016-05-20,2016,BUY,NFLX,40.0,95.0,1.31,9.95,,4978.0,-4987.95,3097.5999999999985,40.0,,Croissance mondiale du streaming,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0015,2016-08-12,2016,BUY,AMD,100.0,5.5,1.3,9.95,,715.0,-724.95,2372.6499999999987,100.0,,Pari de redressement face à Intel et NVIDIA,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0016,2016-11-18,2016,BUY,META,10.0,120.0,1.34,9.95,,1608.0,-1617.95,754.6999999999987,40.0,,Renforcement après monétisation mobile,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0017,2016-12-15,2016,DIVIDEND,MSFT,,,1.0,0.0,130.0,130.0,130.0,884.6999999999987,120.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0018,2016-12-19,2016,DIVIDEND,AAPL,,,1.0,0.0,55.0,55.0,55.0,939.6999999999987,100.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0019,2017-01-16,2017,DEPOSIT,CASH,,,1.0,0.0,10000.0,10000.0,10000.0,10939.699999999999,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0020,2017-01-20,2017,SELL,NFLX,20.0,160.0,1.31,9.95,,4192.0,4182.05,15121.75,20.0,1688.0750000000003,Prise de profit partielle après forte hausse,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0021,2017-02-10,2017,BUY,SHOP,150.0,9.0,1.31,9.95,,1768.5,-1778.45,13343.3,150.0,,Exposition canadienne au commerce infonuagique,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0022,2017-04-21,2017,BUY,AMD,200.0,12.0,1.35,9.95,,3240.0,-3249.95,10093.349999999999,300.0,,Renforcement avant le cycle Ryzen,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0023,2017-06-16,2017,BUY,SQ,50.0,40.0,1.32,9.95,,2640.0,-2649.95,7443.399999999999,50.0,,Paiements numériques pour PME,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0024,2017-08-18,2017,BUY,NVDA,60.0,50.0,1.26,9.95,,3780.0,-3789.95,3653.449999999999,260.0,,GPU et premiers signes de demande en intelligence artificielle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0025,2017-11-10,2017,SELL,AAPL,20.0,43.0,1.27,9.95,,1092.2,1082.25,4735.699999999999,80.0,380.26,Prise de profit partielle et rééquilibrage,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0026,2017-12-15,2017,DIVIDEND,MSFT,,,1.0,0.0,180.0,180.0,180.0,4915.699999999999,120.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0027,2017-12-18,2017,DIVIDEND,AAPL,,,1.0,0.0,60.0,60.0,60.0,4975.699999999999,80.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0028,2018-01-15,2018,DEPOSIT,CASH,,,1.0,0.0,15000.0,15000.0,15000.0,19975.699999999997,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0029,2018-02-09,2018,BUY,MSFT,40.0,90.0,1.26,9.95,,4536.0,-4545.95,15429.749999999996,160.0,,Achat sur correction de marché,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0030,2018-03-23,2018,BUY,SNAP,150.0,18.0,1.29,9.95,,3483.0,-3492.95,11936.799999999996,150.0,,Pari spéculatif sur la publicité sociale,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0031,2018-05-18,2018,BUY,TWTR,100.0,32.0,1.28,9.95,,4096.0,-4105.95,7830.849999999996,100.0,,Pari sur le redressement de l'engagement,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0032,2018-07-27,2018,SELL,GOOGL,20.0,62.0,1.3,9.95,,1612.0,1602.05,9432.899999999996,80.0,925.06,Prise de profit partielle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0033,2018-08-17,2018,BUY,NVDA,40.0,63.0,1.31,9.95,,3301.2000000000003,-3311.15,6121.749999999996,300.0,,Renforcement avant le ralentissement des GPU liés aux cryptomonnaies,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0034,2018-10-12,2018,SELL,TSLA,30.0,22.0,1.3,9.95,,858.0,848.05,6969.7999999999965,0.0,280.57499999999993,Sortie complète après incertitudes de gouvernance,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0035,2018-12-14,2018,DIVIDEND,MSFT,,,1.0,0.0,240.0,240.0,240.0,7209.7999999999965,160.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0036,2018-12-18,2018,DIVIDEND,AAPL,,,1.0,0.0,65.0,65.0,65.0,7274.7999999999965,80.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0037,2018-12-21,2018,BUY,AMD,100.0,19.0,1.36,9.95,,2584.0,-2593.95,4680.849999999997,400.0,,Achat pendant la correction de fin d'année,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0038,2019-01-15,2019,DEPOSIT,CASH,,,1.0,0.0,10000.0,10000.0,10000.0,14680.849999999997,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0039,2019-02-15,2019,SELL,SNAP,150.0,11.0,1.33,6.95,,2194.5,2187.55,16868.399999999998,0.0,-1305.3999999999996,Coupe une position perdante,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0040,2019-03-15,2019,SELL,TWTR,50.0,39.0,1.33,6.95,,2593.5,2586.55,19454.949999999997,50.0,533.5750000000003,Prise de profit partielle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0041,2019-05-17,2019,SELL,NFLX,20.0,290.0,1.34,6.95,,7772.000000000001,7765.050000000001,27220.0,0.0,5271.075000000001,Sortie complète avec gain important,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0042,2019-06-14,2019,SELL,SQ,25.0,70.0,1.34,6.95,,2345.0,2338.05,29558.05,25.0,1013.0750000000003,Prise de profit partielle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0043,2019-07-19,2019,BUY,MSFT,60.0,140.0,1.31,6.95,,11004.0,-11010.95,18547.1,220.0,,Renforcement de la meilleure conviction cloud,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0044,2019-08-16,2019,BUY,SHOP,100.0,32.0,1.33,6.95,,4256.0,-4262.95,14284.149999999998,250.0,,Renforcement du commerce logiciel,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0045,2019-09-20,2019,BUY,UBER,80.0,42.0,1.33,6.95,,4468.8,-4475.75,9808.399999999998,80.0,,Pari plus risqué sur une plateforme mondiale,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0046,2019-11-15,2019,BUY,AMZN,30.0,90.0,1.32,6.95,,3564.0,-3570.95,6237.449999999998,150.0,,Renforcement AWS après consolidation,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0047,2019-12-13,2019,DIVIDEND,MSFT,,,1.0,0.0,330.0,330.0,330.0,6567.449999999998,220.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0048,2019-12-18,2019,DIVIDEND,AAPL,,,1.0,0.0,70.0,70.0,70.0,6637.449999999998,80.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0049,2020-01-15,2020,DEPOSIT,CASH,,,1.0,0.0,15000.0,15000.0,15000.0,21637.449999999997,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0050,2020-02-21,2020,SELL,TWTR,50.0,38.0,1.32,6.95,,2508.0,2501.05,24138.499999999996,0.0,448.0750000000003,Sortie avant le choc pandémique,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0051,2020-03-13,2020,SELL,UBER,80.0,28.0,1.4,6.95,,3136.0,3129.05,27267.549999999996,0.0,-1346.6999999999998,Vente à perte pour réduire le risque,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0052,2020-03-20,2020,SELL,META,20.0,200.0,1.43,6.95,,5720.0,5713.05,32980.6,20.0,3756.416666666667,Libère du capital pendant le krach,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0053,2020-03-23,2020,BUY,AAPL,50.0,60.0,1.43,6.95,,4290.0,-4296.95,28683.649999999998,130.0,,Achat pendant le krach,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0054,2020-03-24,2020,BUY,MSFT,40.0,150.0,1.43,6.95,,8580.0,-8586.95,20096.699999999997,260.0,,Achat pendant le krach,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0055,2020-03-25,2020,BUY,AMD,100.0,45.0,1.42,6.95,,6390.0,-6396.95,13699.749999999996,500.0,,Renforcement dans les semi-conducteurs,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0056,2020-03-27,2020,BUY,TSLA,100.0,30.0,1.41,6.95,,4230.0,-4236.95,9462.799999999996,100.0,,Rachat spéculatif pendant le krach,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0057,2020-04-03,2020,BUY,ZM,30.0,110.0,1.41,6.95,,4653.0,-4659.95,4802.849999999996,30.0,,Télétravail et vidéoconférence,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0058,2020-05-15,2020,BUY,NET,55.0,35.0,1.4,6.95,,2695.0,-2701.95,2100.899999999996,55.0,,Infrastructure web et sécurité,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0059,2020-06-19,2020,BUY,CRWD,10.0,95.0,1.36,6.95,,1292.0,-1298.95,801.949999999996,10.0,,Cybersécurité infonuagique,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0060,2020-07-17,2020,BUY,DOCU,5.0,90.0,1.35,6.95,,607.5,-614.45,187.4999999999959,5.0,,Signature électronique accélérée,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0061,2020-09-04,2020,SELL,ZM,20.0,400.0,1.31,6.95,,10480.0,10473.05,10660.549999999996,10.0,7366.416666666666,"Prise de profit majeure, probablement trop tôt",Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0062,2020-10-16,2020,SELL,AAPL,30.0,120.0,1.32,6.95,,4752.0,4745.05,15405.599999999995,100.0,3692.0650000000005,Rééquilibrage après forte hausse,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0063,2020-12-15,2020,DIVIDEND,MSFT,,,1.0,0.0,440.0,440.0,440.0,15845.599999999995,260.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0064,2020-12-18,2020,DIVIDEND,AAPL,,,1.0,0.0,90.0,90.0,90.0,15935.599999999995,100.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0065,2021-01-08,2021,SELL,TSLA,60.0,300.0,1.27,4.95,,22860.0,22855.05,38790.649999999994,40.0,20312.88,Prise de profit après envolée exceptionnelle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0066,2021-01-15,2021,DEPOSIT,CASH,,,1.0,0.0,10000.0,10000.0,10000.0,48790.649999999994,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0067,2021-02-12,2021,SELL,SHOP,100.0,140.0,1.27,4.95,,17780.0,17775.05,66565.7,150.0,16589.416666666664,Prise de profit partielle,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0068,2021-02-19,2021,BUY,PLTR,300.0,25.0,1.27,4.95,,9525.0,-9529.95,57035.75,300.0,,Pari spéculatif sur les logiciels de données,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0069,2021-03-19,2021,SELL,ZM,10.0,300.0,1.25,4.95,,3750.0,3745.05,60780.8,0.0,2191.7333333333336,Sortie complète de la position pandémie,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0070,2021-04-16,2021,BUY,COIN,25.0,300.0,1.25,4.95,,9375.0,-9379.95,51400.850000000006,25.0,,Exposition spéculative à l'écosystème crypto,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0071,2021-05-14,2021,BUY,ROKU,20.0,350.0,1.21,4.95,,8470.0,-8474.95,42925.90000000001,20.0,,Pari streaming et publicité connectée,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0072,2021-06-18,2021,BUY,ARKK,80.0,120.0,1.23,4.95,,11808.0,-11812.95,31112.950000000008,80.0,,Panier d'innovation acheté près d'un sommet,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0073,2021-08-20,2021,BUY,NVDA,20.0,200.0,1.28,4.95,,5120.0,-5124.95,25988.000000000007,320.0,,Renforcement IA et centres de données,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0074,2021-10-15,2021,BUY,MSFT,30.0,300.0,1.24,4.95,,11160.0,-11164.95,14823.050000000007,290.0,,Renforcement qualité malgré une valorisation élevée,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0075,2021-11-19,2021,BUY,NET,25.0,180.0,1.26,4.95,,5670.0,-5674.95,9148.100000000006,80.0,,Renforcement trop agressif près du sommet,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0076,2021-12-15,2021,DIVIDEND,MSFT,,,1.0,0.0,560.0,560.0,560.0,9708.100000000006,290.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0077,2021-12-17,2021,DIVIDEND,AAPL,,,1.0,0.0,105.0,105.0,105.0,9813.100000000006,100.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0078,2022-01-14,2022,DEPOSIT,CASH,,,1.0,0.0,10000.0,10000.0,10000.0,19813.100000000006,,,Apport annuel de Gear Code,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0079,2022-01-14,2022,SELL,TSLA,30.0,250.0,1.25,4.95,,9375.0,9370.05,29183.150000000005,10.0,8098.964999999999,Réduction du risque avant la correction,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0080,2022-02-18,2022,SELL,COIN,25.0,190.0,1.27,4.95,,6032.5,6027.55,35210.700000000004,0.0,-3352.4000000000005,Coupe une position spéculative avec perte,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0081,2022-03-18,2022,SELL,ROKU,20.0,125.0,1.26,4.95,,3150.0,3145.05,38355.75000000001,0.0,-5329.900000000001,Vente à perte,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0082,2022-04-15,2022,SELL,ARKK,80.0,60.0,1.26,4.95,,6048.0,6043.05,44398.80000000001,0.0,-5769.900000000001,Sortie du panier spéculatif,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0083,2022-05-20,2022,SELL,PLTR,200.0,8.0,1.29,4.95,,2064.0,2059.05,46457.85000000001,100.0,-4294.250000000001,Réduction d'une position perdante,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0084,2022-06-17,2022,SELL,NET,50.0,45.0,1.3,4.95,,2925.0,2920.05,49377.900000000016,30.0,463.7318181818182,Prise de perte et réduction des multiples élevés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0085,2022-06-24,2022,BUY,GOOGL,50.0,115.0,1.29,4.95,,7417.5,-7422.45,41955.45000000002,130.0,,Renforcement d'une entreprise rentable pendant le marché baissier,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0086,2022-07-15,2022,BUY,AMZN,60.0,115.0,1.3,4.95,,8970.0,-8974.95,32980.500000000015,210.0,,Renforcement AWS après repli,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0087,2022-09-16,2022,BUY,MSFT,20.0,245.0,1.32,4.95,,6468.0,-6472.95,26507.550000000014,310.0,,Renforcement qualité pendant la baisse,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0088,2022-10-14,2022,BUY,NVDA,30.0,120.0,1.38,4.95,,4968.0,-4972.95,21534.600000000013,350.0,,Achat contrariant dans les semi-conducteurs,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0089,2022-11-18,2022,BUY,AAPL,30.0,150.0,1.34,4.95,,6030.0,-6034.95,15499.650000000012,130.0,,Renforcement d'une position de qualité,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0090,2022-12-15,2022,DIVIDEND,MSFT,,,1.0,0.0,650.0,650.0,650.0,16149.650000000012,310.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0091,2022-12-16,2022,SELL,META,20.0,120.0,1.36,4.95,,3264.0000000000005,3259.0500000000006,19408.70000000001,0.0,662.7833333333338,Allège après dégradation de la thèse et dépenses liées au métavers,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
GC-0092,2022-12-19,2022,DIVIDEND,AAPL,,,1.0,0.0,120.0,120.0,120.0,19528.70000000001,130.0,,Dividendes annuels agrégés,Simulation synthétique calibrée à l'époque; prix non garantis comme clôtures exactes.,True
